N	\t	s/S
1	\t	1.000000
2	\t	0.700000
3	\t	0.636364
4	\t	0.583333
5	\t	0.400000
6	\t	0.363636
7	\t	0.320000
8	\t	0.258065
9	\t	0.235294
10	\t	0.295455
11	\t	0.254902
12	\t	0.266667
13	\t	0.352941
14	\t	0.397260
15	\t	0.353659
16	\t	0.345238
17	\t	0.322222
18	\t	0.292929
19	\t	0.281553
20	\t	0.268519
21	\t	0.254386
22	\t	0.247863
23	\t	0.233871
24	\t	0.232000
25	\t	0.223077
26	\t	0.214815
27	\t	0.213235
28	\t	0.198630
29	\t	0.187097
30	\t	0.175758
31	\t	0.172619
32	\t	0.165714
33	\t	0.162921
34	\t	0.155080
35	\t	0.152632
36	\t	0.146465
37	\t	0.142857
38	\t	0.139423
39	\t	0.137441
40	\t	0.136792
41	\t	0.131222
42	\t	0.126638
43	\t	0.122363
44	\t	0.123967
45	\t	0.145161
46	\t	0.139535
47	\t	0.134328
48	\t	0.131387
49	\t	0.128571
50	\t	0.127660
51	\t	0.124138
52	\t	0.122867
53	\t	0.120401
54	\t	0.119601
55	\t	0.118812
56	\t	0.118421
57	\t	0.115385
58	\t	0.114650
59	\t	0.111455
60	\t	0.108761
61	\t	0.107784
62	\t	0.107463
63	\t	0.105882
64	\t	0.103448
65	\t	0.101124
66	\t	0.100840
67	\t	0.098630
68	\t	0.097561
69	\t	0.096774
70	\t	0.095491
71	\t	0.093506
72	\t	0.092545
73	\t	0.091603
74	\t	0.089552
75	\t	0.088452
76	\t	0.087591
77	\t	0.086538
78	\t	0.085919
79	\t	0.084706
80	\t	0.082949
81	\t	0.082005
82	\t	0.080899
83	\t	0.079646
84	\t	0.079295
85	\t	0.078431
86	\t	0.076759
87	\t	0.076271
88	\t	0.074689
89	\t	0.074534
90	\t	0.073469
91	\t	0.072581
92	\t	0.071856
93	\t	0.070450
94	\t	0.069632
95	\t	0.068966
96	\t	0.068053
97	\t	0.066790
98	\t	0.065693
99	\t	0.065336
100	\t	0.065217
101	\t	0.064516
102	\t	0.063830
103	\t	0.063380
104	\t	0.063047
105	\t	0.061962
106	\t	0.061644
107	\t	0.060914
108	\t	0.060606
109	\t	0.059900
110	\t	0.059504
111	\t	0.058632
112	\t	0.057785
113	\t	0.056872
114	\t	0.056426
115	\t	0.056250
116	\t	0.055385
117	\t	0.055046
118	\t	0.054962
119	\t	0.054878
120	\t	0.054381
121	\t	0.054217
122	\t	0.053731
123	\t	0.053651
124	\t	0.053254
125	\t	0.052863
126	\t	0.052250
127	\t	0.051502
128	\t	0.051429
129	\t	0.050992
130	\t	0.050350
131	\t	0.049724
132	\t	0.049180
133	\t	0.048847
134	\t	0.048322
135	\t	0.048000
136	\t	0.047619
137	\t	0.047120
