N	\t	n/N
1	\t	0.002000
2	\t	0.004000
3	\t	0.004008
4	\t	0.006012
5	\t	0.008016
6	\t	0.010020
7	\t	0.010040
8	\t	0.012048
9	\t	0.014056
10	\t	0.014085
11	\t	0.016097
12	\t	0.016129
13	\t	0.016162
14	\t	0.016194
15	\t	0.018219
16	\t	0.020243
17	\t	0.022267
18	\t	0.024291
19	\t	0.026316
20	\t	0.028340
21	\t	0.028398
22	\t	0.030426
23	\t	0.032454
24	\t	0.034483
25	\t	0.034553
26	\t	0.034623
27	\t	0.036660
28	\t	0.038697
29	\t	0.040733
30	\t	0.040816
31	\t	0.042857
32	\t	0.042945
33	\t	0.044990
34	\t	0.047035
35	\t	0.047131
36	\t	0.049180
37	\t	0.049281
38	\t	0.049383
39	\t	0.049485
40	\t	0.051546
41	\t	0.053608
42	\t	0.053719
43	\t	0.053830
44	\t	0.053942
45	\t	0.054054
46	\t	0.056133
47	\t	0.058212
48	\t	0.058333
49	\t	0.058455
50	\t	0.058577
51	\t	0.060669
52	\t	0.062762
53	\t	0.064854
54	\t	0.066946
55	\t	0.069038
56	\t	0.071130
57	\t	0.073222
58	\t	0.075314
59	\t	0.077406
60	\t	0.077568
61	\t	0.079665
62	\t	0.079832
63	\t	0.080000
64	\t	0.080169
65	\t	0.080338
66	\t	0.080508
67	\t	0.082627
68	\t	0.084746
69	\t	0.084926
70	\t	0.085106
71	\t	0.085288
72	\t	0.087420
73	\t	0.087607
74	\t	0.087794
75	\t	0.089936
76	\t	0.090129
77	\t	0.092275
78	\t	0.092473
79	\t	0.094624
80	\t	0.094828
81	\t	0.095032
82	\t	0.097192
83	\t	0.099352
84	\t	0.101512
85	\t	0.101732
86	\t	0.103896
87	\t	0.106061
88	\t	0.106291
89	\t	0.108460
90	\t	0.108696
91	\t	0.110870
92	\t	0.111111
93	\t	0.111354
94	\t	0.111597
95	\t	0.113786
96	\t	0.115974
97	\t	0.116228
98	\t	0.116484
99	\t	0.116740
100	\t	0.118943
101	\t	0.121145
102	\t	0.121413
103	\t	0.123620
104	\t	0.125828
105	\t	0.128035
106	\t	0.128319
107	\t	0.128603
108	\t	0.128889
109	\t	0.131111
110	\t	0.133333
111	\t	0.133630
112	\t	0.133929
113	\t	0.134228
114	\t	0.136465
115	\t	0.136771
116	\t	0.137079
117	\t	0.137387
118	\t	0.139640
119	\t	0.139955
120	\t	0.140271
121	\t	0.142534
122	\t	0.142857
123	\t	0.145125
124	\t	0.147392
125	\t	0.147727
126	\t	0.148064
127	\t	0.150342
128	\t	0.150685
129	\t	0.152968
130	\t	0.153318
131	\t	0.155606
132	\t	0.155963
133	\t	0.156322
134	\t	0.156682
135	\t	0.158986
136	\t	0.159353
137	\t	0.159722
138	\t	0.162037
139	\t	0.164352
140	\t	0.164733
141	\t	0.167053
142	\t	0.167442
143	\t	0.167832
144	\t	0.170163
145	\t	0.172494
146	\t	0.172897
147	\t	0.173302
148	\t	0.173709
149	\t	0.174118
150	\t	0.174528
151	\t	0.174941
152	\t	0.175355
153	\t	0.177725
154	\t	0.178147
155	\t	0.180523
156	\t	0.180952
157	\t	0.183333
158	\t	0.183771
159	\t	0.186158
160	\t	0.186603
161	\t	0.187050
162	\t	0.187500
163	\t	0.187952
164	\t	0.190361
165	\t	0.190821
166	\t	0.193237
167	\t	0.193705
168	\t	0.196126
169	\t	0.196602
170	\t	0.199029
171	\t	0.199513
172	\t	0.201946
173	\t	0.202439
174	\t	0.204878
175	\t	0.207317
176	\t	0.207824
177	\t	0.208333
178	\t	0.208845
179	\t	0.209360
180	\t	0.209877
181	\t	0.210396
182	\t	0.210918
183	\t	0.213400
184	\t	0.213930
185	\t	0.214464
186	\t	0.215000
187	\t	0.215539
188	\t	0.218045
189	\t	0.218593
190	\t	0.219144
191	\t	0.221662
192	\t	0.224181
193	\t	0.226700
194	\t	0.227273
195	\t	0.227848
196	\t	0.228426
197	\t	0.230964
198	\t	0.233503
199	\t	0.234097
200	\t	0.234694
201	\t	0.237245
202	\t	0.237852
203	\t	0.238462
204	\t	0.241026
205	\t	0.243590
206	\t	0.244216
207	\t	0.244845
208	\t	0.245478
209	\t	0.248062
210	\t	0.250646
211	\t	0.251295
212	\t	0.251948
213	\t	0.252604
214	\t	0.255208
215	\t	0.255875
216	\t	0.258486
217	\t	0.261097
218	\t	0.261780
219	\t	0.262467
220	\t	0.263158
221	\t	0.263852
222	\t	0.266491
223	\t	0.269129
224	\t	0.269841
225	\t	0.270557
226	\t	0.271277
227	\t	0.273936
228	\t	0.276596
229	\t	0.277333
230	\t	0.278075
231	\t	0.280749
232	\t	0.283422
233	\t	0.284182
234	\t	0.284946
235	\t	0.285714
236	\t	0.286486
237	\t	0.289189
238	\t	0.291892
239	\t	0.292683
240	\t	0.293478
241	\t	0.294278
242	\t	0.297003
243	\t	0.297814
244	\t	0.298630
245	\t	0.299451
246	\t	0.302198
247	\t	0.304945
248	\t	0.307692
249	\t	0.308540
250	\t	0.309392
251	\t	0.312155
252	\t	0.314917
253	\t	0.317680
254	\t	0.320442
255	\t	0.323204
256	\t	0.325967
257	\t	0.326870
258	\t	0.327778
259	\t	0.330556
260	\t	0.333333
261	\t	0.334262
262	\t	0.335196
263	\t	0.337989
264	\t	0.340782
265	\t	0.341737
266	\t	0.344538
267	\t	0.347339
268	\t	0.348315
269	\t	0.349296
270	\t	0.352113
271	\t	0.354930
272	\t	0.357746
273	\t	0.358757
274	\t	0.359773
275	\t	0.362606
276	\t	0.365439
277	\t	0.366477
278	\t	0.367521
279	\t	0.368571
280	\t	0.369628
281	\t	0.370690
282	\t	0.371758
283	\t	0.372832
284	\t	0.375723
285	\t	0.376812
286	\t	0.379710
287	\t	0.380814
288	\t	0.381924
289	\t	0.384840
290	\t	0.387755
291	\t	0.390671
292	\t	0.391813
293	\t	0.394737
294	\t	0.397661
295	\t	0.398827
296	\t	0.400000
297	\t	0.402941
298	\t	0.405882
299	\t	0.408824
300	\t	0.410029
301	\t	0.411243
302	\t	0.412463
303	\t	0.415430
304	\t	0.416667
305	\t	0.417910
306	\t	0.419162
307	\t	0.422156
308	\t	0.423423
309	\t	0.424699
310	\t	0.425982
311	\t	0.429003
312	\t	0.430303
313	\t	0.431611
314	\t	0.434650
315	\t	0.437690
316	\t	0.439024
317	\t	0.440367
318	\t	0.441718
319	\t	0.444785
320	\t	0.446154
321	\t	0.447531
322	\t	0.448916
323	\t	0.450311
324	\t	0.453416
325	\t	0.454829
326	\t	0.457944
327	\t	0.461059
328	\t	0.464174
329	\t	0.465625
330	\t	0.468750
331	\t	0.470219
332	\t	0.473354
333	\t	0.474843
334	\t	0.477987
335	\t	0.481132
336	\t	0.482650
337	\t	0.485804
338	\t	0.487342
339	\t	0.488889
340	\t	0.492063
341	\t	0.493631
342	\t	0.496815
343	\t	0.500000
344	\t	0.501597
345	\t	0.501608
346	\t	0.501618
347	\t	0.501629
348	\t	0.501639
349	\t	0.501650
350	\t	0.501661
351	\t	0.501672
352	\t	0.501684
353	\t	0.501695
354	\t	0.501706
355	\t	0.501718
356	\t	0.501730
357	\t	0.501742
358	\t	0.501754
359	\t	0.501767
360	\t	0.501779
361	\t	0.501792
362	\t	0.501805
363	\t	0.501818
364	\t	0.501832
365	\t	0.501845
366	\t	0.501859
367	\t	0.501873
368	\t	0.501887
369	\t	0.501901
370	\t	0.501916
371	\t	0.501931
372	\t	0.501946
373	\t	0.501961
374	\t	0.501976
375	\t	0.501992
376	\t	0.502008
377	\t	0.502024
378	\t	0.502041
379	\t	0.502058
380	\t	0.502075
381	\t	0.502092
382	\t	0.502110
383	\t	0.502128
384	\t	0.502146
385	\t	0.502165
386	\t	0.502183
387	\t	0.502203
388	\t	0.502222
389	\t	0.502242
390	\t	0.502262
391	\t	0.502283
392	\t	0.502304
393	\t	0.502326
394	\t	0.502347
395	\t	0.502370
396	\t	0.502392
397	\t	0.502415
398	\t	0.502439
399	\t	0.502463
400	\t	0.502488
401	\t	0.502513
402	\t	0.502538
403	\t	0.502564
404	\t	0.502591
405	\t	0.502618
406	\t	0.502646
407	\t	0.502674
408	\t	0.502703
409	\t	0.502732
410	\t	0.502762
411	\t	0.502793
412	\t	0.502825
413	\t	0.502857
414	\t	0.502890
415	\t	0.502924
416	\t	0.502959
417	\t	0.502994
418	\t	0.503030
419	\t	0.503067
420	\t	0.503106
421	\t	0.503145
422	\t	0.503185
423	\t	0.503226
424	\t	0.503268
425	\t	0.503311
426	\t	0.503356
427	\t	0.503401
428	\t	0.503448
429	\t	0.503497
430	\t	0.503546
431	\t	0.503597
432	\t	0.503650
433	\t	0.503704
434	\t	0.503759
435	\t	0.503817
436	\t	0.503876
437	\t	0.503937
438	\t	0.504000
439	\t	0.504065
440	\t	0.504132
441	\t	0.504202
442	\t	0.504274
443	\t	0.504348
444	\t	0.504425
445	\t	0.504505
446	\t	0.504587
447	\t	0.504673
448	\t	0.504762
449	\t	0.504854
450	\t	0.504950
451	\t	0.505051
452	\t	0.505155
453	\t	0.505263
454	\t	0.505376
455	\t	0.505495
456	\t	0.505618
457	\t	0.505747
458	\t	0.505882
459	\t	0.506024
460	\t	0.506173
461	\t	0.506329
462	\t	0.506494
463	\t	0.506667
464	\t	0.506849
465	\t	0.507042
466	\t	0.507246
467	\t	0.507463
468	\t	0.507692
469	\t	0.507937
470	\t	0.508197
471	\t	0.508475
472	\t	0.508772
473	\t	0.509091
474	\t	0.509434
475	\t	0.509804
476	\t	0.510204
477	\t	0.510638
478	\t	0.511111
479	\t	0.511628
480	\t	0.512195
481	\t	0.512821
482	\t	0.513514
483	\t	0.514286
484	\t	0.515152
485	\t	0.516129
486	\t	0.517241
487	\t	0.518519
488	\t	0.520000
489	\t	0.521739
490	\t	0.523810
491	\t	0.526316
492	\t	0.529412
493	\t	0.533333
494	\t	0.538462
495	\t	0.545455
496	\t	0.555556
497	\t	0.571429
498	\t	0.600000
499	\t	0.666667
500	\t	1.000000
